Comments	Pardis	Mina	Yasmin	Average	P_Deviation	M_Deviation	Y _Deviation	P_mislabeling	M_mislabeling	Y_mislabeling	Natalie	Labels	
Not having the luxury of either family, friend or partner to bail me out I must work or sleep on the streets within weeks. No other options due to my inability to function as a normal human. Personal responsibility is a wonderful thing.	4	4	0	2.666666667	1.333333333	1.333333333	2.666666667			INVALID	3	3	
It is New Year's Day 2016 and thankfully that (oh such fun and loving) period of falseness is over for another 11 months! I wonder how many more there will be and will they all be quite so alone (not lonely) for me.	1	2	0	1	0	1	1					1	
rsjg, you apparently have some free time on your hands during the days while the bread winner in your team is at work for you. You also sound as though you like to help people and don't currently have any excuse not to try something simple for someone else's benifit. So, what I want you to do with your loose end time is to research (get this right please) High Functioning Asperger's Syndrome for me. Now, I cannot pay you, you will purely be helping me out, there is no end to the research and all you get is satisfaction and something else to think about for a while.	1	1	1	1	0	0	0					1	
How does this sound to you?	0	0	0	0	0	0	0					0	
The reason I ask is purely that I don't have either the time or the inclination to do something for myself as I don't deserve the help from me that others receive without question, oh and the fact that High Functioning AS adults currently don't get diagnosed (labelled) due to them being too clever and the only so called 'real help' out there costs an arm and a leg, both of which I'd rather keep hold of thanks!	3	4	2	3	0	1	1					3	
Please don't pick holes in my punctuation, grammar and sentence building (lack of) skills, I may have also once been a teacher, been measured by British Mensa and found to be an actual genius and have taken ages writing and re-writing this, but I still make mistakes.	0	0	0	0	0	0	0					0	
At least Google - High Functioning Asperger's Syndrome, become a specialist and help people in the future to work smarter with my lifelong challenges.	0	0	0	0	0	0	0					0	
Cheers and Happy New Year	0	0	0	0	0	0	0					0	
"I had a few people on her write to me over Xmas/ New Year but needed to ignore them - too much energy was needed to focus on acting happy and normal around family!	2	2	3	2.333333333	0.3333333333	0.3333333333	0.6666666667					2.333333333	
​I wish I could talk to you more directly than on an open forum. I've said before, knowledge is a great thing - but it can also be a curse. You need to be particuarly careful self-diagnosing but also need to think whether this diagnosis is in any way helpful to you. Say you decide that you are HFAS - how does that help you? If you can't source help then it is just another meaningless semantic for feeling awful day to day.	0	3	0	1	1	2	1		INVALID		0	0	
​I've also mentioned that it is probably important to get outside your own head - think about doing things that stop you thinking about yourself. However, as a caveat, I also recognise doing anything (like talking to another human being as you rightly point out!) can be extrememly stressful.	1	3	0	1.333333333	0.3333333333	1.666666667	1.333333333					1.333333333	
​I'd never pick holes in others punctuation and grammar unless they were doing it to others! It's a forum, not a thesis! However if you have the time and pride to check your message back then maybe you do have the time to look at HFAS if it interests you.	0	0	0	0	0	0	0					0	
​To be honest, knowledge is something I despise yet am addicted to so I will inevitably be searching HFSA after I've written this reply! But without an argument or focus it is impossible to really research a topic to any purpose. I will happily help others if I can (preferably from afar!) but not sure what I could do to focus your research on this matter and whether it'd even be of any benefit to you anyway.	1	0	0	0.3333333333	0.6666666667	0.3333333333	0.3333333333					0.3333333333	
​Like I said, there is certainly an interesting discussion to be had but unfortunately I doubt this is the place to do it effectively for you or I.	0	0	0	0	0	0	0					0	
​Good Luck.	0	0	0	0	0	0	0					0	
"Quick research, scan read. Told you I would... I definitely don't have HFSA. You may well have but it'd take more than a quick chat to establish that.	1	1	1	1	0	0	0					1	
​As I'm sure you're aware, everyone is somewhere on the autistic spectrum and all the various labels that spin off that. Even the most 'normal' of people might feel particuarly calmed by a colour, or get irritated by a simple tapping noise. The issues arise when your 'quirks' impact on your life. Mine do for me, and yours sound like they do for you.	3	3	3	3	0	0	0					3	
​I have had a ton of labels I have both researched or been told about that might fit my ways of thinking and acting but the conclusion I reached was that it was all kind of pointless - a label by its very nature is just a broad title to fit many people and when that comes to the brain it's a very pointless exercise. You might be able to group broken limbs in patients but with the head it's nearly impossible - there's too many bits that do or don't apply for every individual. Ultimately a title is only helpful to point you in the right direction to get you personalised help. And it HAS to be personalised.	3	3	1	2.333333333	0.6666666667	0.6666666667	1.333333333					2.333333333	
​I think I have depression, with social anxiety. I have signs of bipolar, I get symptoms of SAD, I have trichotillomania, I have mild OCD that gets worse if I'm stressed, I have panic attacks, I over think everything, I have low self-esteem and no confidence, I feel suicidal most days and a million other mini-labels. Doesn't help me though. It's the classic 'what's in a name?'	5	5	5	5	0	0	0					5	
​I hope you see my point. We sound very similar yet I would class myself as a people pleaser, I rarely sure emotion outside the house and am overly polite to even strangers. So whilst HFSA might apply in parts, it doesn't solve everything.	3	3	3	3	0	0	0					3	
​Think about what you want from this title. How will it help you? You might be better focusing on the things that make you feel better, not labelling something that makes you feel bad.	0	0	0	0	0	0	0					0	
"Well let's try simplify things yer take a short cut home and trip and break your ankle.	0	0	0	0	0	0	0					0	
Painful and going to take time to heal. You do what's required without a second thought. You think about it you convince yourself that rest and guidance is the key but you never need to question why that day you chose the short cut.	0	0	0	0	0	0	0					0	
The brain however gets a rougher deal if that breaks. You know what you need to do because the experts tell you but why believe them ? Why ? Let's question and even if there right you question how. When. Why me.	0	0	0	0	0	0	0					0	
Jeeze it's an organ.	0	0	0	0	0	0	0					0	
Forgive forget way up see what yer got live now move on.	0	0	0	0	0	0	0					0	
Been there its around the corner. Just let it be	0	1	0	0.3333333333	0.3333333333	0.6666666667	0.3333333333					0.3333333333	
"Mate I can't speak for others but compared to some on this path you are to be applauded. You are nothing short of a perfect human being that I for one would happily share this planet.	0	0	0	0	0	0	0					0	
I don't know when you wrote this or how your feeling now but I am feeling the thoughts.	1	1	0	0.6666666667	0.3333333333	0.3333333333	0.6666666667					0.6666666667	
There is a simple answer for you to feel what others feel but I personally think you should stay where you are and that is to live for the next breath.	0	0	0	0	0	0	0					0	
You however seem to know this and some so I'm guessing you feel similar to me. The answer for you is not to concentrate on the whys his and why not but to keep on doing what your doing and compliment yourself for it as your making the world a better place	0	0	0	0	0	0	0					0	
"I feel the exact same way, we are all lead to believe that we are unique. This is the strangest thing I've ever experienced. I do believe we need to chat together. The way you feel is the exact same as I feel in my life right now.	0	1	0	0.3333333333	0.3333333333	0.6666666667	0.3333333333					0.3333333333	
"Thank you Steve. You've helped me a little and I need all the hlep I can get.	0	0	0	0	0	0	0					0	
"Join the army. Your overthinking and social anxiety is caused by the fact that there is too much in this world. Too many potential opportunities choices and expectations. In the at you have a very simple job and it sets up a routine and discipline.	0	0	0	0	0	0	0					0	
"Big hug & prayers to you Steve. I know this is years later but I can't help but tear up when you speak of dystonia, because my mum had it and I'm sure it was the toughest time in her life. She did recover though with prayer & Botox injections etc. I wish you strength.	0	2	0	0.6666666667	0.6666666667	1.333333333	0.6666666667					0.6666666667	
"I pretty much felt like that most of my life. Moving from place to place whether it is work, friends, relationships or home. Living is just so tiring and it isn't fun or enjoyable. It took me a failed marriage which ended in the most hostile way possible to seek some help. I am slowly and beginning to admit that it is some form of depression. Haven't done the CBT though. Even if you don't think you are suffering from depression, try everything, you never know, something might work for you.	5	5	5	5	0	0	0					5	
"Thank you. I am trying everything but more out of doing what I'm told than having a belief anything will change. I couldn't vouch for CBT yet, it's done nothing. Mind you same for medication! What is depression and what is just character?!	5	5	3	4.333333333	0.6666666667	0.6666666667	1.333333333					4.333333333	
"I have also moved from place to place as a child never had any real friends. Never felt like i fit in. When i do make an effort with work groups people i can only last so long it gets tiring and i cant be bothered. I thought if i did hair from home home that would be better but even then i dread people coming i am sick of that as well. I thought getting married having children would help my quest in searching for happiness but it us all just exhausting even though i love my children . i wonder when is it ever going to end or is life about living in this rat race constantly having scheduals and running aroubd plus trying to fit in seeing people so they dont get annoyed. Its all too mich fir me. I look at peopke who seem so happy ,motivated and excited about life and feell what is wrong with me. I would rathet just be on my own with no scheduals but calmness does this mean i am just a lazy person. I try to be upbeat but it wears off quickly.	4	4	3	3.666666667	0.3333333333	0.3333333333	0.6666666667					3.666666667	
"""What is depression and what is just character?!""	0	0	0	0	0	0	0					0	
I get the impression that you are highly sensitive, empathic, and have high ideals.	0	0	0	0	0	0	0					0	
Let's be honest, there is more bad in this world than there is good. Consciously or not, we're all constantly being barraged with negative messages. And negative emotions have more staying power than fleeting feelings of joy. Your brain is more than likely over stimulated and is compensating / protecting you by dulling your emotions.	0	0	0	0	0	0	0					0	
Think of a traumatic event that you have witnessed (car crash, violent scene in a movie, etc.). Your senses are on high alert, you question yourself as to whether you really saw and heard what just happened, you find yourself in shock.	0	0	0	0	0	0	0					0	
Like shock, depression is a manifestation of our brain's self-protecting powers. It's by no means a comfortable state of being, it leaves one feeling 'flat' (to depress is to flatten), apathetic, tired. But it's an effective mechanism that shields us from feeling intense upset.	0	0	0	0	0	0	0					0	
What you are describing rsjg, is typical depression. I think that you will find that you will cycle in and out of it throughout your lifetime. This is not a character weakness, as you come off as being very honest, insightful, caring, and intelligent.	0	0	0	0	0	0	0					0	
I haven't lived in Brittain (I'm assuming that's where you're from) but here in the U.S. there is tremendous (and unrealistic) pressure to be happy all the time. Nobody can live up to that standard, and 'phonying up' (so others will be more comfortable around you) and living with self - deception is exhausting. If that doesn't rob one of a strong sense of self, depression surely will. The best that we should aim for is contentment.	0	0	0	0	0	0	0					0	
"What a well written submission, and I hope it helped rsjg as it did me. For a long time I have tried to understand why moving to America at first excited me, then overwhelmed me (2 step daughters perhaps?) and then I began having anxiety attacks - something I never had before. You are right, and now, after going through being betrayed, and losing several loved ones, I see quite clearly the happy facade in California around me. It is, as you say, deadening, almost like living in a Stepford Wives movie where you don't fit in.	5	5	5	5	0	0	0					5	
Your description of depression is also very clarifying. I think it was my only way to numb the pain of inadequacy and lost love. I wondered why i had lost my spirit which was once so strong, why I struggled to feel a sense of belonging .... anywhere. Why I looked at myself and wondered who I was.	5	4	3	4	1	0	1					4	
Thank you for your wise words.	0	0	0	0	0	0	0					0	
"Sally! I couldn't agree more! I also feel like that	1	1	0	0.6666666667	0.3333333333	0.3333333333	0.6666666667					0.6666666667	
"Sorry to hear that! If only there were a magic pill.	0	0	0	0	0	0	0					0	
So sorry -- you ended up in probably the worst area of the U.S. to find any meaningful connection. CA (especially L.A. and surrounding areas) is so invested in projecting an image of wealth and superiority. You know, HOLLYWOOD / Tinsel Town...all illusion, no substance.	0	0	0	0	0	0	0					0	
"Oh Tess, how many have said that to me, family and friends, yet I seem rooted to the spot having lost faith in being able to cope on my own or make any meaningful life again. A friend just said to me, Rock Bottom is a safe place to be, it's solid and you can only go up (or sink in the sand?). So I have to believe there is going to be something that will jolt me back into living, hope and believing. Funny, as my husband comes from a Hollywood upbringing.	4	4	4	4	0	0	0					4	
"Hi I relate very much to what you are saying as I have much the same thoughts. I just feel sad and hopeless much of the time and wish my life could end in a natural way. Then I feel awful thinking this with so many people with life threatening illnesses who desperately want to live.	4	4	4	4	0	0	0					4	
I don't have anyone to love me - no partner or kids (I am 60) so you are one up on me. I have 3 sisters and only 1 nephew. 1 sister (who I don't have or want any contact with) has 1 son. She is a snob. Out of my other 2 1 is a recluse and shuts herself away and the other is a thief who stole all our mothers money before she died. So I have no one who would truely miss me. At least you have love and constant people in your life.	2	2	3	2.333333333	0.3333333333	0.3333333333	0.6666666667					2.333333333	
"I doubt you have no one, family is only one part. Work friends? Neighbours?	0	0	0	0	0	0	0					0	
But, for the sake of discussion, if there is really no-one then in a way you know how to feel better and that gives you a lot of power. I don't even know how to be 'happy' and feel I should leave those around me before I drag them down too!	4	3	4	3.666666667	0.3333333333	0.6666666667	0.3333333333					3.666666667	
If you feel lonely, then be a little more proactive, join some clubs or groups etc. Without being offensive, you are a little older than me and there are a lot more clubs set up for your age group than mine that wouldn't be intimidating. I get expectations of sports clubs (loud bravado people!) or nightclubs etc where as I'm sure there are more suitable groups for you. Knowing what you want to make you happy is a great thing.	0	0	0	0	0	0	0					0	
As for your family, you seem to want nothing to do with them. Great! Sorry, people on here may say that's sad etc or to try but it's your situation - if you simply don't get on then absolutely forget them. People survive without families all the time. Or you mentioned the recluse, maybe you need each other...	0	0	0	0	0	0	0					0	
I sympathise, in case that didn't come across, so whilst I appreciate I have one on you by having a partner (although that can make you feel worse by the way in that you feel like a burden) you also have one on me knowing what will make you happy.	2	2	3	2.333333333	0.3333333333	0.3333333333	0.6666666667					2.333333333	
You don't need family/partner to feel loved. In fact family's love often feels more 'because you're family' than out of want. Friends are there purely because they want to be.	0	0	0	0	0	0	0					0	
"Thanks for your reply rsjg. I do see on sister quite a lot and of course I do have friends - several close ones, drinking friends, casual friends etc. I am not working as can't get a job so am often lonely.	1	1	1	1	0	0	0					1	
I do go to a social club for over 55's but don't do knitting! I play cards in one of them and attend a writers group. Despite my advanced age I do occasionally go to nightclubs you know....	0	0	0	0	0	0	0					0	
I have quite a good social life and go out at least 3 evening a week playing darts and dommies with the lads at my local. I also go to bingo.	0	0	0	0	0	0	0					0	
Oh and I certainly don't need my reclusive sister!!! You sound very young and I think you will find that us 'old folk' don't sit in a corner of a kitchen anymore knitting anymore and I hope you will be the same when you are old like me....	0	0	0	0	0	0	0					0	
It doesn't follow that I know how to make myself happy so I don't know where you got that idea. I keep as busy as I can but what I was saying was I don't have love in my life or anyone really close to me. That makes me unhappy. No one would miss me that much if I wasn't here.	3	4	3	3.333333333	0.3333333333	0.6666666667	0.3333333333					3.333333333	
"Hi Hypercat, I really didn't mean any offence, I just meant you have more access to such activities due to your age. I bet most of the people in those activities you talk of are of similar age and are in similar situations due to unemployment, retirement etc. You may well be the youngest there but I'm sure you have plenty in common with them. In fact I'm envious! All I was trying to say is there isn't that social world more mid 30 year olds, you're kind of expected to be all sociable and loud. My one friend tried to get me to go to a craft course - he's ten years older than me, and he was youngest be 10 years! It doesn't mean its not pleasant to some degree but you do feel very 'odd one out'	0	0	0	0	0	0	0					0	
I apologise if I jumped to conclusions based on your message but I maintain that with the active social life you live you have LOADS of people who would miss you. Love is not exclusively available from family and partners. You seemed to suggest this was why you were largely unhappy so I think you know what makes you tick; you miss a partner/ family bonds. I'm not going to be stupid enough to say 'fix it' then as it's never that simple, but knowing what would make you happy is a positive; at least it gives you a target.	0	0	0	0	0	0	0					0	
"rsjg. There is not much more available to me because of my age then there is you. Many of the groups are for old people who want to knit and gossip. Nearly all of them have or did have partners, children and grandchildren and I don't so I don't have a lot in common with them.	0	0	0	0	0	0	0					0	
"I don't know you personally but I honestly can relate	0	0	0	0	0	0	0					0	
I to am in my 50's and on face book there are many groups but mostly for the younger generation and I don't sit and knit either lol I am here if you need to talk ok	0	0	0	0	0	0	0					0	
Lorraine from wisconsin	0	0	0	0	0	0	0					0	
"I feel you have missed the point of the writer, and you are wrong about the clubs and activities - you have plenty no matter what age, but when you are depressed and have lost your confidence, it is incredibly hard to get up and do those things. Be gentle on us older folk - I am 58. It is a harsh climate out there if you are that age - your husbands seek young women, it's hard to find work, and your body and hormones are not playing well with your ego.	3	2	1	2	1	0	1					2	
"I'm not sure what the protocol on here is for a 'knowing nod' so I'll just give you virtual hug and hope we both have a miracle!	1	0	0	0.3333333333	0.6666666667	0.3333333333	0.3333333333					0.3333333333	
"If so many of us are feeling the same way, it almost seems like it is actually normal to feel this way about life.	1	0	0	0.3333333333	0.6666666667	0.3333333333	0.3333333333					0.3333333333	
"Maybe on here! But what's hardest is seeing other people cope/ find it easy to do things you can't, e.g. make a phone call! It should be a simple task but I find it incredibly difficult. Everyone stresses, we all know that - its the degree to which we do and how it effects us before and after the event.	4	3	1	2.666666667	1.333333333	0.3333333333	1.666666667					2.666666667	
"That's exactly how I felt the first time I had depression.	5	5	5	5	0	0	0					5	
You don't need to have a life changing event or crisis to suffer depression. All you need is to not be producing enough serotonin in your brain. And you get this feeling you described of never truly enjoying life.	0	0	0	0	0	0	0					0	
Anti-depressants can help but every person's brain is different so pills aren't a one size fits all sort of thing. It can take time to work, or even to find the right ones for you. I tried 2 before the third drug worked for me. But that is something you may want to discuss with your gp or counsellor.	5	5	5	5	0	0	0					5	
"I'm wary of drugs anyway. But I gave them about three months plus and no effect at all. If my life meant I had to take drugs forever I'd rather not anyway!	5	5	3	4.333333333	0.6666666667	0.6666666667	1.333333333					4.333333333	
"I read through your posts and found them to be really helpful as Ive suffered from anxiety and depression since 18 but never really knew what it was till recently. I decided recently to go back to a low amount of medication for anxiety and depression to hopefully keep me mellow as I broke down walking home from work one day and locked myself away for a while.	5	5	5	5	0	0	0					5	
I suffered from my first major breakdown at 21 now 27, I started a new job as a teacher I was fine for the first 2 months but the more responsibility I took on the more i got stressed and anxiety and evently depression kicked in. I couldnt hold myself together and would go home and cry myself to sleep. I didnt want people to see me the way I was including my family and as I had moved to a new area in the UK only had a few friends I could confide in about what I was going through. Now when i look back on it i just wish i had been more wiser as seeked a second opinion as my doctor at the time just said i needed to get out more and see more friends. I was actually doing ok and enjoyed helping students with there studies and a lot of it was in my head. In the end my parents came down and took me home and looked after me and got me back to a normal state.	5	5	5	5	0	0	0					5	
I just wanted to say give everything a try to keep yourself motiviated even if its going to the gym, catching up with a friend or trying a new job.	0	0	0	0	0	0	0					0	
Id like to say am cured and never suffer from it but that would be lying. But once i got back on my feet i went travelling had some great experiences and now living in Australia.	5	4	2	3.666666667	1.333333333	0.3333333333	1.666666667					3.666666667	
Im not going to say am perfect now as I have another dilema in my life if I want to stay in Australia or go home as feeling not completly settled and I have been in Aus for nearly 5 years.	1	0	0	0.3333333333	0.6666666667	0.3333333333	0.3333333333					0.3333333333	
I just want to say your not alone and more people are suffering from anxiety/depression these days and you dont realise how common it is as people find it hard to dicuss as its your emotions and feelings. My doctor said it can depend on your personality and just what kind of person you and how you react to a situation.	5	5	3	4.333333333	0.6666666667	0.6666666667	1.333333333					4.333333333	
Im not sure if this has helped and sorry if I have rambled on but I wish you luck in the future. I try and do one at least one new experience a week if thats trying a new restaurant, go on a date or meet a new person. I started hitting the gym more as its very cliche but feel so much better after going.	3	3	1	2.333333333	0.6666666667	0.6666666667	1.333333333					2.333333333	
Hope you feel better soon. Have a listen to a band called the Album Leaf it helps me relax and close off my mind.	1	1	0	0.6666666667	0.3333333333	0.3333333333	0.6666666667					0.6666666667	
"Great message. Funnily enough I am/was a teacher too - but I think the environment is particularly toxic for those with is style of thinking (the profession is based around you/ the work never being good enough and what can you do to improve in the UK)	2	0	0	0.6666666667	1.333333333	0.6666666667	0.6666666667					0.6666666667	
Catch 22 means that once this impacts you to the degree I had to quit my job, it means you cut off a social group and have no money for new experiences/ days out.	1	1	1	1	0	0	0					1	
As regards you, I'd stay in Australia! I imagine it's a lot nicer when you have a crappy day opening the curtains to sunshine! Tthat'd make a little, but significant difference.	0	0	0	0	0	0	0					0	
I'm not sure what I'll do now, think teaching is gone, can't see what I can do to keep me 'sane' as a career and find very little point in most things. I go to CBT but it just feels like we're talking about philosophy, my way of thinking hasn't changed one iota.	5	5	4	4.666666667	0.3333333333	0.3333333333	0.6666666667					4.666666667	
I had no reasons to think this way, I created them almost. Now I actually have no job etc. I am not a victim, I did it to myself. I think I have just given up, if I see 2015 I will be a little surprised as I imagine something will come along in next few months that will be enough to knock me fully over the edge; an unexpected bill, a worry how I'm impacting on my partner, a death in the family - something...	3	3	2	2.666666667	0.3333333333	0.3333333333	0.6666666667					2.666666667	
"Yeah teaching isnt for everyone and at that time in my life it wasnt. Have you thought about going travelling for extended time go work some jobs you never thought you would do. I worked on a farm stay and at one point cooked up a meal for 40 people which i never thought I could do and had to wash emus and feed osterichs lol. I know its hard to save but just cutting some luxarys out makes it a little easier.	1	0	0	0.3333333333	0.6666666667	0.3333333333	0.3333333333					0.3333333333	
Australia is beautiful place dont get me wrong and i have some amazing friends but do miss my family a lot as there all back in the UK. I only get to see them like 3 weeks a year and still want to travel more.	1	0	0	0.3333333333	0.6666666667	0.3333333333	0.3333333333					0.3333333333	
Maybe try and get a job with less stress like working in retail or a warehouse i know its not a career but sometimes we need to just do something different . Im sure you will be fine and try not to think the worse you need things to look forward to and not worry what will happen as thats no way to live your life.	0	0	0	0	0	0	0					0	
I know how you feel as recently i left my job like yourself and have only had two weeks off and feel like i should be back at work but am slowly working on parts of my life with the time off I have. its good to have structure which am lacking at the moment as am going to bed late and getting up in the afternoons but now after 2 weeks of i need to change my ways and start getting a few things off my to do list as then i feel satisifed and happier for myself.	1	1	2	1.333333333	0.3333333333	0.3333333333	0.6666666667					1.333333333	
It funny how you mention about reason of been depressed there doesnt always need to be a root cause. I had a job with people that i got on with most of the time but as i sat there everyday at the same desk, talking to pretty much the same people with the same problems I realised there must be something else Id rather be doing and needed some time off to help realise what that will be. Im now looking at jobs where i can help people as i miss the one to one and want a job that i find rewarding. You just need to mix things up in life, there isnt one set route and if you want to do something different you can there is no wrong paths.	5	4	4	4.333333333	0.6666666667	0.3333333333	0.3333333333					4.333333333	
"I do love travelling but now, having just had to quit work, it isn't even possible for me to 'save' at all. Besides, my gf still has a job so I'm taking on my full time job of being a burden	2	0	0	0.6666666667	1.333333333	0.6666666667	0.6666666667					0.6666666667	
Everything you write makes perfect sense. But the most relevant part is the tone; you seem to know everything isn't perfect but know your triggers and that there is good and bad. I was joking about staying in Oz, I fully recognise complications regarding family etc. Fortunately, or unfortunately, I now have no friends, no job, limited family (that I see rarely anyway) so am not tied to any geographical place. It's just gfs job that keeps me where I am.	3	3	2	2.666666667	0.3333333333	0.3333333333	0.6666666667					2.666666667	
